quelle;FB1;FB2;FB3;GD;doi;title;authorships.raw_author_name;mfn-authors;publication_year;publication_date;language;type;journal;publisher;primary_location.license;open_access.is_oa;open_access.oa_status;cites_mfn_collection_specimen;is_taxonomic_revision;is_species_description;abteilung 1;abteilung 2;abteilung 3;kommentar;biblio.volume;biblio.issue;biblio.first_page;biblio.last_page;locations.landing_page_url;type_crossref;booktitle;editor;print;edition;book serie
FB3.csv;False;False;True;False;10.57964/310g-vp86;(Für) den Planeten essen: Wie die richtige Kommunikation unsere Ernährung verbessern kann. Te.ma Planetary Health;Kiprijanov, K. S.;Kiprijanov, K. S.;2024;2024-07-12 00:00:00;Deutsch;Populartikel;Planetare Gesundheit - Macht uns die planetare Krise krank?;Te.ma;CC BY-NC_ND;True;gold;False;False;False;Innovation in Public Engagement, Partizipation und Open Science;;;Expert*innenbeitrag;NaN;NaN;NaN;NaN;NaN;"NaN";;;;;
FB1.csv;True;False;False;False;10.14512/9783987263361;5 Binnengewässer und Auen;"Feld, C. K.;  Nguyen, H. H.;  Haase,P.;   Hering, D.; Schmedtje, U.; Pahl-Wostl, C.; von Fumetti, S.; Freyhof, J.; Hahn, H.J.;   Haubrock, P. J.; Jähnig, S.; Januschke, K.; Klauer, B.;  Reese, M.; Sommerwerk, N.; Straile, D.; Tanneberger, F.";Sommerwerk, N., Freyhof, J.;2024;NaN;deutsch;sammelbandbeitrag;;oekom verlag eBooks;CC BY-NC-ND;True;gold;False;False;False;Center for Integrative Biodiversity Discovery;;;NaN;NaN;NaN;521;646;NaN;"NaN";Faktencheck Artenvielfalt. Eine Bestandsaufnahme und Perspektiven für den Erhalt der biologischen Vielfalt in Deutschland; Christian Wirth, Helge Bruelheide, Nina Farwig, Jori Maylin Marx, Josef Settele;Ergolding;;
openalex;True;False;False;False;10.32942/x2gw4f;60 million years of ecological shifts in large herbivore communities revealed by Network Analysis;Blanco, F., Lazagabaster, I., Sanisidro, O., Bibi, F., Heckeberg, N., Ríos, M., Mennecart, B., Alberdi, M., Prado, J., Saarinen, J., Silvestro, D., Müller, J., Calatayud, J. & Cantalapiedra, J.;Blanco, F., Lazagabaster, I., Bibi, F.;2024;2024-08-17;English;preprint;EcoEvoRxiv;California Digital Library;cc-by-nc-nd;True;green;NaN;NaN;NaN;Evolutionary Morphology;;;NaN;NaN;NaN;1;17;https://doi.org/10.32942/x2gw4f;"posted-content";;;;;
FB1.csv;True;False;False;False;10.3897/zookeys.1199.115442;A camouflaged diversity: taxonomic revision of the thorny lacewing subfamily Symphrasinae (Neuroptera, Rhachiberothidae);Ardila-Camacho, A., Machado, R. J. P., Ohl, M. & Contreras-Ramos, A. ;Ohl, M.;2024;2024-04-30;English;peerrevartikel;Zookeys;Pensoft Publishers;CC BY;True;gold;True;True;True;Center for Integrative Biodiversity Discovery;;;NaN;1199;NaN;1;409;https://doi.org/10.3897/zookeys.1199.115442|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11077268|https://pubmed.ncbi.nlm.nih.gov/38725711;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1098/rsos.231566;A comprehensive phylogeny and revised taxonomy of Diadectomorpha with a discussion on the origin of tetrapod herbivory;Ponstein, J., MacDougall, M. J. & Fröbisch, J. ;Ponstein, J., MacDougall, M. J. & Fröbisch, J. ;2024;26 June 2024;English;peerrevartikel;Royal Society Open Science;The Royal Society;CC BY;True;gold;NaN;NaN;NaN;Evolutionary Diversity Dynamics;;;NaN;11;6;NaN;NaN;https://doi.org/10.1098/rsos.231566|https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11257076|https://pubmed.ncbi.nlm.nih.gov/39036512;"journal-article";;;;;
openalex;True;False;False;False;10.1002/tcr.202400140;A Comprehensive Survey of Stink Bug Pheromones ‐ Extraction, Identification, Synthesis, Biosynthesis, and Phylogenetic Insights;Souza, J. P. A., Jorge, I. R., Santos, A. T. D., Figueiredo, L., Rosa, B. B., Paladini, A. & Zarbin, P. H. G.;Rosa, B. B.;2024;2024-11-19;en;review;The Chemical Record;Wiley;NaN;False;closed;NaN;NaN;NaN;Center for Integrative Biodiversity Discovery;;;NaN;NaN;NaN;NaN;NaN;https://doi.org/10.1002/tcr.202400140|https://pubmed.ncbi.nlm.nih.gov/39562170;"journal-article";;;;;
FB2.csv;False;True;False;False;10.3897/biss.8.141258;A Conceptual Analysis of Occurrences: Implications for the Identity, Mereology and Representation of Occurrence Instances in Biodiversity Data Exchange;Bölling, C.;Bölling, C.;2024;2024-11-08 00:00:00;English;konferenzbeitragpaper;Biodiversity Information Science and Standards;Pensoft Publishers;CC BY;True;NaN;False;False;False;Service Development and Knowledge Transfer;;;NaN;8;NaN;NaN;NaN;NaN;"NaN";;;;;
FB1.csv;True;False;False;False;10.1093/sysbio/syae068;A double-edged sword: evolutionary novelty along deep-time diversity oscillation in an iconic group of predatory insects (Neuroptera: Mantispoidea);Li, H., Zhuo, D., Wang, B., Nakamine, H., Yamamoto, S., Zhang, W., Jepson, J. E., Ohl, M., Aspöck, U., Aspöck, H., Nyunt, T. T., Engel, M. S., Benton, M. J., Donoghue, P. & Liu, X. ;Ohl, M.;2024;NaN;NaN;peerrevartikel;Systematic Biology;Oxford University Press;NaN;False;closed;NaN;NaN;NaN;Center for Integrative Biodiversity Discovery;;;NaN;NaN;NaN;NaN;NaN;https://doi.org/10.1093/sysbio/syae068|https://pubmed.ncbi.nlm.nih.gov/39579347;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1080/21564574.2023.2296654;A new bullfrog from southern Africa (Pyxicephalidae, Pyxicephalus Tschudi, 1838);Du Preez, L. H., Netherlands, E. C., Rödel, M. & Channing, A.;Rödel, M.;2024;NaN;english;peerrevartikel;African Journal of Herpetology;Taylor & Francis;CC BY-NC-ND;True;NaN;True;True;True;Evolutionary Diversity Dynamics;;;NaN;73;1;61;89;https://doi.org/10.1080/21564574.2023.2296654;"journal-article";;;;;
FB1.csv;True;False;False;False;10.1093/zoolinnean/zlae117;A new family of freshwater snails with Cretaceous origin from Yunnan, China;Zhang, L., Bernardes, S. C., Meng, K. & Von Rintelen, T.;Zhang, L., Bernardes, S. C., Von Rintelen, T.;2024;2024-09-25 00:00:00;English;peerrevartikel;Zoological Journal of the Linnean Society;Oxford Academic;Other;False;hybrid;True;False;True;Center for Integrative Biodiversity Discovery;;;NaN;202;1;NaN;NaN;https://doi.org/10.1093/zoolinnean/zlae117;"journal-article";;;;;
